version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-8375  [007]  1843.571684: funcgraph_entry:      + 17.685 us  |  zpl_show_options();
              dd-8376  [010]  1843.572874: funcgraph_entry:                   |                  dnode_willuse_space() {
              dd-8376  [010]  1843.572875: funcgraph_entry:        0.420 us   |                    spa_get_asize();
              dd-8376  [010]  1843.572876: funcgraph_entry:                   |                    dsl_dir_willuse_space() {
              dd-8376  [010]  1843.572876: funcgraph_entry:                   |                      dsl_dir_dirty() {
              dd-8376  [010]  1843.572876: funcgraph_entry:        0.484 us   |                        txg_list_add();
              dd-8376  [010]  1843.572877: funcgraph_exit:         1.327 us   |                      }
              dd-8376  [010]  1843.572878: funcgraph_exit:         2.229 us   |                    }
              dd-8376  [010]  1843.572878: funcgraph_entry:        0.410 us   |                    dmu_tx_pool();
              dd-8376  [010]  1843.572879: funcgraph_entry:        0.413 us   |                    dsl_pool_dirty_space();
              dd-8376  [010]  1843.572880: funcgraph_entry:        0.407 us   |                    dmu_tx_willuse_space();
              dd-8376  [010]  1843.572881: funcgraph_exit:         6.477 us   |                  }
              dd-8376  [010]  1843.572881: funcgraph_entry:        0.422 us   |                  dnode_new_blkid();
              dd-8376  [010]  1843.572883: funcgraph_entry:                   |                  dbuf_dirty() {
              dd-8376  [010]  1843.572883: funcgraph_entry:        0.440 us   |                    zrl_add();
              dd-8376  [010]  1843.572885: funcgraph_entry:                   |                    dnode_willuse_space() {
              dd-8376  [010]  1843.572885: funcgraph_entry:        0.423 us   |                      spa_get_asize();
              dd-8376  [010]  1843.572886: funcgraph_entry:                   |                      dsl_dir_willuse_space() {
              dd-8376  [010]  1843.572887: funcgraph_entry:                   |                        dsl_dir_dirty() {
              dd-8376  [010]  1843.572887: funcgraph_entry:        0.493 us   |                          txg_list_add();
              dd-8376  [010]  1843.572888: funcgraph_exit:         1.326 us   |                        }
              dd-8376  [010]  1843.572888: funcgraph_exit:         2.222 us   |                      }
              dd-8376  [010]  1843.572889: funcgraph_entry:        0.416 us   |                      dmu_tx_pool();
              dd-8376  [010]  1843.572890: funcgraph_entry:        0.509 us   |                      dsl_pool_dirty_space();
              dd-8376  [010]  1843.572891: funcgraph_entry:        0.407 us   |                      dmu_tx_willuse_space();
              dd-8376  [010]  1843.572891: funcgraph_exit:         6.621 us   |                    }
              dd-8376  [010]  1843.572892: funcgraph_entry:                   |                    dsl_dataset_block_freeable() {
